subunit,facts_id,uom,date_plann,date_accom,date_compl,nbr_units_,nbr_units1,activity,method,equipment
000,YBADHR301F,ACRES,2011-10-03,2011-12-16,2011-12-16,39.7,39.7,Thinning for Hazardous Fuels Reduction,Cut trees and brush,Chain Saw
003,4S81000000,ACRES,2011-11-14,2011-11-14,2011-11-14,1,0.3,Burning of Piled Material,Prescribed Burn,Drip torch
000,4230305000,ACRES,2014-07-18,2014-07-18,2014-10-28,26,26,"Piling of Fuels, Hand or Machine",Manual,Chain Saw
000,4230305000,ACRES,2013-09-15,2013-09-15,2013-09-15,26,26,Wildfire - Human Ignition,Not Applicable,NA
000,4230305000,ACRES,2014-07-18,2014-07-18,2014-10-28,26,26,Site Preparation for Planting - Manual,Manual,Chain Saw
000,4230305000,ACRES,2014-10-01,,,26,0,Burning of Piled Material,Prescribed Burn,Drip torch
000,0190H11007,ACRES,2005-03-01,2008-07-25,2008-07-25,0.5,0.5,Burning of Piled Material,Prescribed Burn,Drip torch
000,0060010215,ACRES,2014-04-05,2014-10-01,2014-10-01,31,31,Chipping of Fuels,Mobile Ground,Chipper
000,0060010215,ACRES,2014-04-05,2014-10-01,2014-10-01,31,31,Rearrangement of Fuels,Manual,Chain Saw
000,0060010215,ACRES,2014-04-05,2014-10-01,2014-10-01,31,31,Precommercial Thin,Manual,Chain Saw
000,F221000029,ACRES,2009-05-21,2009-05-21,2009-05-21,79,79,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,F029000004,ACRES,2006-10-30,2006-10-30,2006-10-31,113,113,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,0190I16052,ACRES,2006-05-15,2008-07-25,2008-07-25,0.8,0.8,Burning of Piled Material,Prescribed Burn,Drip torch
000,2151004000,ACRES,2004-03-07,2004-03-07,2004-03-07,100,100,Underburn - Low Intensity (Majority of Unit),Prescribed Burn,Drip torch
000,6090035000,ACRES,2006-10-01,2006-11-01,2006-11-01,20,20,"Piling of Fuels, Hand or Machine",Mechanical,Dozer
000,6090035000,ACRES,2006-11-01,2007-02-12,2007-02-12,20,20,Burning of Piled Material,Manual,NA
000,0190I15041,ACRES,2011-05-05,2011-08-01,2011-08-01,7.9,7.9,Burning of Piled Material,Prescribed Burn,Drip torch
000,0190D13042,ACRES,2011-01-03,2011-08-08,2011-08-08,0.6,0.6,Burning of Piled Material,Prescribed Burn,Drip torch
007,6010914000,ACRES,2010-03-09,2010-03-09,2010-03-09,13.9,13.9,Burning of Piled Material,Fire,Drip torch
000,0190H21003,ACRES,2014-01-01,2014-03-24,2014-10-10,5,5,"Piling of Fuels, Hand or Machine",Hand piling,NA
000,26S1900000,ACRES,2014-08-03,2014-08-04,2014-08-04,32,32,Chipping of Fuels,Chipping,Chipper
001,FTADMINOR1,ACRES,2006-10-01,2007-04-30,2007-04-30,2.2,2.2,Burning of Piled Material,Prescribed Burn,Drip torch
000,0010127000,ACRES,2014-04-18,2014-04-18,2014-11-10,2,2,Compacting/Crushing of Fuels,Mechanical,Masticator
000,FTELKCMP01,ACRES,2004-04-30,2004-05-30,2004-05-30,12,12,Burning of Piled Material,Fire,NA
000,0001025405,ACRES,2015-10-15,,,27.4,0,Commercial Thin,Mechanical,Feller Buncher
002,4S81000000,ACRES,2010-10-01,2010-10-27,2010-10-27,7,7,Burning of Piled Material,Prescribed Burn,Drip torch
000,5060013000,ACRES,2012-10-01,2012-10-01,2012-10-01,76,76,Wildfire - Natural Ignition,Wildfire,NA
006,FTMADRDFB6,ACRES,2011-10-01,2012-02-08,2012-02-08,2.2,2.2,Burning of Piled Material,Prescribed Burn,Drip torch
000,5000013000,ACRES,2007-08-01,2007-12-06,2007-12-06,22,22,Burning of Piled Material,Prescribed Burn,Drip torch
000,5000013000,ACRES,2009-02-05,2009-02-05,2009-02-05,22,22,Burning of Piled Material,Prescribed Burn,Drip torch
000,5000013000,ACRES,2008-10-01,2008-10-01,2008-10-01,22,22,"Piling of Fuels, Hand or Machine",Hand piling,Hand Tool
000,5000013000,ACRES,2007-08-01,2007-08-15,2007-08-15,22,3,"Piling of Fuels, Hand or Machine",Manual,NA
