year,priv_lumber,priv_landscape,priv_energy,priv_pp,priv_waste,nf_lumber,nf_landscape,nf_energy,nf_pp,nf_waste
,,,,,,,,,,
2012,511.7000,178.5000,404.6000,71.4000,1.19000,87.2900,30.4500,69.0200,12.1800,0.20300
2011,485.9000,169.5000,384.2000,67.8000,1.13000,129.0000,45.0000,102.0000,18.0000,0.30000
2010,442.9000,154.5000,350.2000,61.8000,1.03000,113.9500,39.7500,90.1000,15.9000,0.26500
2009,320.3500,111.7500,253.3000,44.7000,0.74500,70.0900,24.4500,55.4200,9.7800,0.16300
2008,546.1000,190.5000,431.8000,76.2000,1.27000,88.1500,30.7500,69.7000,12.3000,0.20500
2007,619.2000,216.0000,489.6000,86.4000,1.44000,132.4400,46.2000,104.7200,18.4800,0.30800
2006,743.9000,259.5000,588.2000,103.8000,1.73000,96.7500,33.7500,76.5000,13.5000,0.22500
2005,645.0000,225.0000,510.0000,90.0000,1.50000,98.9000,34.5000,78.2000,13.8000,0.23000
2004,683.7000,238.5000,540.6000,95.4000,1.59000,48.5900,16.9500,38.4200,6.7800,0.11300
2003,649.3000,226.5000,513.4000,90.6000,1.51000,66.6500,23.2500,52.7000,9.3000,0.15500
2002,653.6000,228.0000,516.8000,91.2000,1.52000,72.6700,25.3500,57.4600,10.1400,0.16900
2001,636.4000,222.0000,503.2000,88.8000,1.48000,127.7100,44.5500,100.9800,17.8200,0.29700
2000,808.4000,282.0000,639.2000,112.8000,1.88000,144.9100,50.5500,114.5800,20.2200,0.33700
1999,817.0000,285.0000,646.0000,114.0000,1.90000,227.4700,79.3500,179.8600,31.7400,0.52900
1998,834.2000,291.0000,659.6000,116.4000,1.94000,194.7900,67.9500,154.0200,27.1800,0.45300
1997,877.2000,306.0000,693.6000,122.4000,2.04000,235.6400,82.2000,186.3200,32.8800,0.54800
1996,855.7000,298.5000,676.6000,119.4000,1.99000,196.9400,68.7000,155.7200,27.4800,0.45800
1995,829.9000,289.5000,656.2000,115.8000,1.93000,233.9200,81.6000,184.9600,32.6400,0.54400
1994,847.1000,295.5000,669.8000,118.2000,1.97000,347.4400,121.2000,274.7200,48.4800,0.80800
1993,971.8000,339.0000,768.4000,135.6000,2.26000,317.7700,110.8500,251.2600,44.3400,0.73900
1992,915.9000,319.5000,724.2000,127.8000,2.13000,442.9000,154.5000,350.2000,61.8000,1.03000
1991,881.5000,307.5000,697.0000,123.0000,2.05000,576.2000,201.0000,455.6000,80.4000,1.34000
1990,1161.0000,405.0000,918.0000,162.0000,2.70000,657.9000,229.5000,520.2000,91.8000,1.53000
1989,1130.9000,394.5000,894.2000,157.8000,2.63000,868.6000,303.0000,686.8000,121.2000,2.02000
1988,1126.6000,393.0000,890.8000,157.2000,2.62000,937.4000,327.0000,741.2000,130.8000,2.18000
1987,1135.2000,396.0000,897.6000,158.4000,2.64000,847.1000,295.5000,669.8000,118.2000,1.97000
1986,1032.0000,360.0000,816.0000,144.0000,2.40000,842.8000,294.0000,666.4000,117.6000,1.96000
1985,950.3000,331.5000,751.4000,132.6000,2.21000,786.9000,274.5000,622.2000,109.8000,1.83000
1984,903.0000,315.0000,714.0000,126.0000,2.10000,670.8000,234.0000,530.4000,93.6000,1.56000
1983,812.7000,283.5000,642.6000,113.4000,1.89000,722.4000,252.0000,571.2000,100.8000,1.68000
1982,645.0000,225.0000,510.0000,90.0000,1.50000,402.9100,140.5500,318.5800,56.2200,0.93700
1981,739.6000,258.0000,584.8000,103.2000,1.72000,468.7000,163.5000,370.6000,65.4000,1.09000
1980,834.2000,291.0000,659.6000,116.4000,1.94000,649.3000,226.5000,513.4000,90.6000,1.51000
1979,976.1000,340.5000,771.8000,136.2000,2.27000,743.9000,259.5000,588.2000,103.8000,1.73000
1978,1191.1000,415.5000,941.8000,166.2000,2.77000,774.0000,270.0000,612.0000,108.0000,1.80000
1977,1272.8000,444.0000,1006.4000,177.6000,2.96000,748.2000,261.0000,591.6000,104.4000,1.74000
1976,1186.8000,414.0000,938.4000,165.6000,2.76000,812.7000,283.5000,642.6000,113.4000,1.89000
1975,1165.3000,406.5000,921.4000,162.6000,2.71000,653.6000,228.0000,516.8000,91.2000,1.52000
1974,1229.8000,429.0000,972.4000,171.6000,2.86000,748.2000,261.0000,591.6000,104.4000,1.74000
1973,1208.3000,421.5000,955.4000,168.6000,2.81000,864.3000,301.5000,683.4000,120.6000,2.01000
1972,1384.6000,483.0000,1094.8000,193.2000,3.22000,954.6000,333.0000,754.8000,133.2000,2.22000
