year_start,year_end,priv10y_avg,priv10y_stddev,state10y_avg,state10y_stddev,tribal10y_avg,tribal10y_stddev,blm10y_avg,blm10y_stddev,nf10y_avg,nf10y_stddev
1947,1957,28.19,3.93,0.12,0.03,0.17,0.05,0.08,0.05,5.36,1.31
1948,1958,28.98,2.77,0.13,0.04,0.18,0.05,0.09,0.05,5.61,1.36
1949,1959,29.15,2.58,0.14,0.04,0.20,0.07,0.11,0.08,6.08,1.84
1950,1960,29.09,2.71,0.14,0.04,0.21,0.07,0.12,0.08,6.35,1.90
1951,1961,28.77,3.03,0.14,0.04,0.23,0.08,0.13,0.08,6.59,1.95
1952,1962,28.28,3.04,0.15,0.04,0.23,0.08,0.13,0.08,6.79,1.97
1953,1963,27.87,3.37,0.16,0.04,0.25,0.08,0.15,0.07,7.40,2.01
1954,1964,26.82,3.10,0.16,0.04,0.27,0.07,0.17,0.07,8.11,2.08
1955,1965,25.91,3.37,0.17,0.03,0.28,0.06,0.19,0.08,8.78,2.11
1956,1966,24.77,3.43,0.18,0.02,0.29,0.05,0.20,0.07,9.30,2.21
1957,1967,23.83,3.32,0.19,0.02,0.30,0.04,0.21,0.07,9.77,2.22
1958,1968,23.01,3.36,0.20,0.04,0.32,0.07,0.22,0.05,10.60,2.32
1959,1969,22.09,3.09,0.20,0.05,0.33,0.06,0.23,0.05,11.12,2.07
1960,1970,21.13,2.95,0.21,0.05,0.32,0.08,0.22,0.05,11.32,2.00
1961,1971,20.48,3.13,0.21,0.05,0.33,0.09,0.22,0.05,11.75,1.82
1962,1972,20.12,2.83,0.22,0.05,0.34,0.09,0.21,0.06,12.23,1.66
1963,1973,19.40,2.18,0.22,0.05,0.34,0.09,0.20,0.07,12.60,1.21
1964,1974,18.92,1.72,0.23,0.04,0.34,0.09,0.19,0.08,12.64,1.13
1965,1975,18.46,1.36,0.23,0.03,0.32,0.11,0.20,0.08,12.45,1.43
1966,1976,18.20,1.20,0.24,0.03,0.31,0.12,0.17,0.08,12.43,1.43
1967,1977,18.19,1.20,0.24,0.03,0.31,0.12,0.16,0.08,12.32,1.49
1968,1978,18.02,1.12,0.23,0.04,0.31,0.12,0.15,0.08,12.26,1.51
1969,1979,17.63,1.52,0.22,0.03,0.29,0.10,0.14,0.08,11.90,1.24
1970,1980,17.08,2.17,0.21,0.04,0.29,0.10,0.12,0.08,11.61,1.38
1971,1981,16.56,2.86,0.20,0.05,0.28,0.10,0.11,0.07,11.18,1.97
1972,1982,15.93,3.55,0.20,0.06,0.25,0.11,0.10,0.07,10.53,2.40
1973,1983,15.16,3.38,0.20,0.06,0.22,0.10,0.10,0.07,10.22,2.08
1974,1984,14.75,3.29,0.20,0.06,0.20,0.10,0.10,0.08,9.96,1.90
1975,1985,14.38,3.08,0.20,0.06,0.17,0.10,0.10,0.08,10.01,1.94
1976,1986,14.20,2.95,0.20,0.06,0.18,0.10,0.09,0.05,10.26,2.07
1977,1987,14.13,2.87,0.20,0.06,0.18,0.10,0.09,0.05,10.31,2.12
1978,1988,13.93,2.57,0.20,0.06,0.17,0.10,0.09,0.05,10.56,2.37
1979,1989,13.85,2.46,0.21,0.06,0.15,0.09,0.09,0.04,10.69,2.46
1980,1990,14.10,2.65,0.20,0.06,0.13,0.08,0.09,0.04,10.58,2.48
1981,1991,14.16,2.62,0.21,0.05,0.12,0.06,0.09,0.04,10.48,2.54
1982,1992,14.40,2.41,0.22,0.04,0.12,0.07,0.09,0.04,10.44,2.59
1983,1993,14.84,1.80,0.21,0.04,0.13,0.07,0.09,0.04,10.33,2.83
1984,1994,14.88,1.72,0.20,0.05,0.13,0.07,0.09,0.04,9.82,3.22
1985,1995,14.79,1.84,0.20,0.05,0.12,0.07,0.09,0.04,9.23,3.75
1986,1996,14.66,1.94,0.21,0.07,0.13,0.06,0.08,0.04,8.44,4.10
1987,1997,14.45,1.99,0.22,0.07,0.12,0.06,0.07,0.03,7.62,4.11
1988,1998,14.05,1.92,0.22,0.07,0.11,0.04,0.06,0.03,6.74,3.98
1989,1999,13.63,1.78,0.22,0.07,0.11,0.04,0.06,0.03,5.79,3.30
1990,2000,13.19,1.50,0.21,0.08,0.11,0.04,0.06,0.03,4.81,2.48
1991,2001,12.49,1.24,0.20,0.09,0.10,0.04,0.06,0.03,4.10,2.00
1992,2002,12.18,1.48,0.18,0.10,0.10,0.04,0.05,0.03,3.42,1.56
1993,2003,11.82,1.58,0.16,0.12,0.09,0.02,0.05,0.03,2.92,1.33
1994,2004,11.43,1.40,0.14,0.12,0.09,0.02,0.04,0.04,2.55,1.34
1995,2005,11.16,1.45,0.13,0.13,0.09,0.02,0.03,0.02,2.22,1.06
1996,2006,11.05,1.40,0.11,0.13,0.09,0.02,0.03,0.03,2.03,0.99
1997,2007,10.73,1.40,0.07,0.10,0.09,0.02,0.03,0.02,1.95,0.95
1998,2008,10.28,1.38,0.05,0.06,0.09,0.02,0.03,0.03,1.75,0.81
1999,2009,9.59,2.01,0.03,0.04,0.08,0.03,0.03,0.02,1.58,0.74
2000,2010,9.09,2.01,0.03,0.04,0.08,0.03,0.03,0.02,1.43,0.46
2001,2011,8.65,1.83,0.02,0.03,0.08,0.03,0.02,0.02,1.41,0.42
2002,2012,8.48,1.84,0.02,0.05,0.08,0.03,0.02,0.02,1.35,0.39
